Date,Close,High,Low,Open,Volume,Stock_Symbol
2026-05-19,298.97,300.51,296.35,296.97,42243600,AAPL
2026-05-20,302.25,302.8,298.08,298.18,38229800,AAPL
2026-05-21,304.99,305.54,300.4,301.06,42965100,AAPL
2026-05-22,308.82,311.4,305.84,306.12,43670200,AAPL
2026-05-26,308.33,311.82,307.67,309.56,48000500,AAPL
2026-05-27,310.85,313.26,308.3,308.33,50430900,AAPL
2026-05-28,312.51,312.8,309.57,310.68,48220400,AAPL
2026-05-29,312.06,315.0,309.53,311.78,70026800,AAPL
2026-06-01,306.31,310.94,305.02,309.63,48849900,AAPL
2026-06-02,315.2,315.45,306.69,307.46,44534700,AAPL
2026-06-03,310.26,316.94,308.85,314.18,50836700,AAPL
2026-06-04,311.23,313.54,309.65,313.23,44869100,AAPL
2026-06-05,307.34,315.17,307.15,312.86,65310500,AAPL
2026-06-08,301.54,317.4,301.17,308.74,77949100,AAPL
2026-06-09,290.55,300.75,287.78,300.28,70108800,AAPL
2026-06-10,291.58,294.75,287.38,290.74,52793300,AAPL
2026-06-11,295.63,297.0,289.59,293.72,42572500,AAPL
2026-06-12,291.13,297.14,289.62,296.03,38742100,AAPL
2026-06-15,296.42,297.78,291.7,294.12,45732600,AAPL
2026-06-16,299.24,300.48,293.97,295.25,39874400,AAPL
2026-06-17,295.95,302.07,294.36,300.85,42745100,AAPL
2026-06-18,298.01,300.57,295.62,298.11,85962200,AAPL
2026-05-19,12.45,12.99,12.26,12.37,22702700,INFY
2026-05-20,12.5,12.51,12.04,12.23,28776000,INFY
2026-05-21,12.37,12.42,11.98,12.12,17329800,INFY
2026-05-22,12.4,12.54,12.26,12.38,19027200,INFY
2026-05-26,11.82,12.33,11.79,12.33,22361400,INFY
2026-05-27,12.13,12.19,11.82,11.82,15036500,INFY
2026-05-28,12.43,12.51,11.97,12.16,33405700,INFY
2026-05-29,12.38,12.46,12.07,12.32,27699800,INFY
2026-06-01,13.13,13.27,12.45,12.45,34182100,INFY
2026-06-02,12.8,13.12,12.59,13.0,23013900,INFY
2026-06-03,12.2,12.61,12.09,12.6,17725700,INFY
2026-06-04,12.3,12.59,12.27,12.57,14882500,INFY
2026-06-05,12.14,12.55,12.13,12.49,8239600,INFY
2026-06-08,12.02,12.21,11.88,12.17,12375000,INFY
2026-06-09,11.98,12.22,11.83,11.99,10546600,INFY
2026-06-10,11.76,12.16,11.73,12.0,11298600,INFY
2026-06-11,11.6,11.78,11.42,11.7,10272500,INFY
2026-06-12,11.74,11.86,11.61,11.81,7443300,INFY
2026-06-15,11.6,12.05,11.5,12.05,15029000,INFY
2026-06-16,11.97,12.13,11.86,11.86,17804800,INFY
2026-06-17,11.7,12.07,11.69,11.92,32500100,INFY
2026-06-18,10.57,11.12,10.46,10.82,63561800,INFY
2026-05-19,416.52,431.76,415.59,428.97,33018700,MSFT
2026-05-20,420.15,421.19,410.41,413.27,27864000,MSFT
2026-05-21,419.09,426.34,415.71,424.75,31393500,MSFT
2026-05-22,418.57,424.4,416.33,419.54,22390300,MSFT
2026-05-26,416.03,419.77,413.02,416.43,30398000,MSFT
2026-05-27,412.67,415.94,409.58,411.01,28901500,MSFT
2026-05-28,426.99,429.49,412.67,412.98,47250500,MSFT
2026-05-29,450.24,450.33,432.36,432.55,79654400,MSFT
2026-06-01,460.52,466.32,458.27,464.84,53628900,MSFT
2026-06-02,441.31,453.5,440.43,446.88,37036800,MSFT
2026-06-03,427.34,440.39,424.25,438.45,39037000,MSFT
2026-06-04,428.05,436.15,426.41,435.81,26899500,MSFT
2026-06-05,416.67,429.47,414.4,428.34,34782200,MSFT
2026-06-08,411.74,417.16,408.56,414.14,32086700,MSFT
2026-06-09,403.41,411.98,398.48,409.03,35317300,MSFT
2026-06-10,397.36,405.04,397.16,398.55,32576000,MSFT
2026-06-11,390.34,396.85,384.0,395.21,47224100,MSFT
2026-06-12,390.74,391.74,382.27,391.43,34865800,MSFT
2026-06-15,399.76,401.75,392.85,396.8,32266400,MSFT
2026-06-16,393.83,396.84,390.69,395.79,31506800,MSFT
2026-06-17,378.91,390.37,377.32,390.25,41987800,MSFT
2026-06-18,379.4,381.37,373.28,377.82,59714200,MSFT
2026-05-19,2295.97,2345.79,2266.37,2269.23,10394707,TCS.NS
2026-05-20,2296.26,2310.67,2286.79,2292.81,2537422,TCS.NS
2026-05-21,2296.07,2304.65,2283.04,2299.82,3299087,TCS.NS
2026-05-22,2286.3,2308.7,2277.22,2299.92,2617262,TCS.NS
2026-05-25,2308.2,2326.1,2293.0,2325.0,3298364,TCS.NS
2026-05-26,2276.2,2327.9,2272.4,2308.2,3587597,TCS.NS
2026-05-27,2284.2,2295.6,2260.9,2275.0,2653950,TCS.NS
2026-05-28,2284.2,2284.2,2284.2,2284.2,0,TCS.NS
2026-05-29,2258.9,2334.0,2235.0,2291.0,16331582,TCS.NS
2026-06-01,2297.4,2335.0,2280.0,2284.0,7505095,TCS.NS
2026-06-02,2446.9,2457.4,2316.2,2320.0,11306127,TCS.NS
2026-06-03,2241.7,2393.0,2224.8,2393.0,15660062,TCS.NS
2026-06-04,2241.0,2253.1,2216.6,2241.7,4867263,TCS.NS
2026-06-05,2198.9,2271.8,2192.0,2262.9,5019717,TCS.NS
2026-06-08,2151.4,2177.0,2143.3,2170.0,6536734,TCS.NS
2026-06-09,2151.0,2174.0,2132.8,2174.0,4148655,TCS.NS
2026-06-10,2153.9,2180.8,2144.8,2151.3,2848650,TCS.NS
2026-06-11,2135.6,2154.6,2110.0,2127.0,3079815,TCS.NS
2026-06-12,2161.4,2168.0,2138.0,2150.0,2124656,TCS.NS
2026-06-15,2162.0,2192.0,2159.3,2192.0,3337083,TCS.NS
2026-06-16,2199.0,2209.0,2160.6,2167.0,3079898,TCS.NS
2026-06-17,2223.0,2231.0,2200.7,2209.0,2865010,TCS.NS
2026-06-18,2203.3,2214.0,2182.0,2209.0,3735188,TCS.NS
2026-06-19,2125.0,2138.0,2059.9,2105.0,13286502,TCS.NS
2026-05-19,404.11,405.63,393.63,403.16,46500600,TSLA
2026-05-20,417.26,417.46,406.39,407.6,45294700,TSLA
2026-05-21,417.85,426.95,412.9,422.18,42636900,TSLA
2026-05-22,426.01,431.51,420.51,422.67,46104700,TSLA
2026-05-26,433.59,435.2,426.12,430.26,45658900,TSLA
2026-05-27,440.36,445.6,435.52,442.89,44656500,TSLA
2026-05-28,442.1,443.96,436.3,437.62,32435000,TSLA
2026-05-29,435.79,441.07,428.14,439.85,45176800,TSLA
2026-06-01,415.88,429.6,415.43,427.49,44937900,TSLA
2026-06-02,423.74,424.42,413.65,418.22,37596000,TSLA
2026-06-03,423.7,433.6,416.0,418.7,44500700,TSLA
2026-06-04,418.45,426.35,417.16,419.84,35323300,TSLA
2026-06-05,391.0,424.68,388.59,420.5,63420200,TSLA
2026-06-08,408.95,412.94,394.72,396.33,50328800,TSLA
2026-06-09,396.68,418.5,384.24,411.03,59940200,TSLA
2026-06-10,381.59,397.09,380.15,391.54,49695600,TSLA
2026-06-11,399.15,399.54,380.66,388.28,45324300,TSLA
2026-06-12,406.43,406.68,386.76,399.49,63514500,TSLA
2026-06-15,411.15,416.0,407.1,412.37,45620500,TSLA
2026-06-16,404.66,412.42,400.54,404.11,40255500,TSLA
2026-06-17,396.38,405.94,393.76,401.53,43534300,TSLA
2026-06-18,400.49,402.52,384.7,398.1,58384700,TSLA
